GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,OPTAX.id,OPTAX.display-label,PRODSVC2012.id,PRODSVC2012.display-label,PRODSVC2012.annotation.id,YEAR.id,ESTAB,TVALLN,RCPTOT,LINE_PCT,LINEALL_PCT,LINE_COV,KB_PCT
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Type of operation or tax status code,Meaning of Type of operation or tax status code,Products and services code,Meaning of Products and services code,Id,Year,Number of establishments,"Total sales of estabs reporting product line ($1,000)","Sales ($1,000)",Product line sales as % of total sales of estabs reporting line (%),Product line sales as % of total sales of all estabs (%),Response coverage of product lines inquiry (%),Percent of sales accounted for by industry (%)
0100000US,,United States,,423820,Farm and garden machinery and equipment merchant wholesalers,,20,Manufacturers' sales branches and offices,12220,"Lawn and garden machinery, equipment, and parts",,2012,20,14281281,2679006,18.8,14.0,92.6,99.8
0100000US,,United States,,4238201,Farm machinery and equipment merchant wholesalers- farm dealers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,2464,31590473,1997104,6.3,4.0,76.1,17.1
0100000US,,United States,,4238201,Farm machinery and equipment merchant wholesalers- farm dealers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,2464,31590473,1997104,6.3,4.0,76.1,23.0
0100000US,,United States,,4238202,Farm machinery and equipment merchant wholesalers- wholesale distributors,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,354,15293513,1847406,12.1,5.6,88.8,15.9
0100000US,,United States,,4238202,Farm machinery and equipment merchant wholesalers- wholesale distributors,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,353,,,,,,
0100000US,,United States,,4238203,Lawn and garden machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,586,7091382,6611948,93.2,93.2,71.8,56.8
0100000US,,United States,,4238203,Lawn and garden machinery and equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,567,,,,,,
0100000US,,United States,,4238203,Lawn and garden machinery and equipment merchant wholesalers,,20,Manufacturers' sales branches and offices,12220,"Lawn and garden machinery, equipment, and parts",,2012,19,,,,,,
0100000US,,United States,,42383,Industrial machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,203,979632,89645,9.2,,4.8,0.8
0100000US,,United States,,42383,Industrial machinery and equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,203,979632,89645,9.2,0.1,4.8,1.0
0100000US,,United States,,423830,Industrial machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,203,979632,89645,9.2,,4.8,0.8
0100000US,,United States,,423830,Industrial machinery and equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,203,979632,89645,9.2,0.1,4.8,1.0
0100000US,,United States,,4238301,Food-processing machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,9,35489,1551,4.4,,,
0100000US,,United States,,4238301,Food-processing machinery and equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,9,35489,1551,4.4,,,
0100000US,,United States,,4238302,Hydraulic and pneumatic (fluid-power) machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,40,107975,4602,4.3,,,
0100000US,,United States,,4238302,Hydraulic and pneumatic (fluid-power) machinery and equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,40,107975,4602,4.3,,,0.1
0100000US,,United States,,42383022,"Hydraulic and pneumatic parts, accessories, and supplies merchant wholesalers",,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,38,106217,4427,4.2,,,
0100000US,,United States,,42383022,"Hydraulic and pneumatic parts, accessories, and supplies merchant wholesalers",,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,38,106217,4427,4.2,0.1,,0.1
0100000US,,United States,,4238303,General-purpose industrial machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,99,696273,77019,11.1,0.1,6.8,0.7
0100000US,,United States,,4238303,General-purpose industrial machinery and equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,99,696273,77019,11.1,0.1,6.9,0.9
0100000US,,United States,,4238304,Metalworking machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,10,17453,1213,7.0,,,
0100000US,,United States,,4238304,Metalworking machinery and equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,10,17453,1213,7.0,,,
0100000US,,United States,,4238305,Materials handling equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,26,69378,4035,5.8,,,
0100000US,,United States,,4238305,Materials handling equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,26,69378,4035,5.8,,,
0100000US,,United States,,4238307,Other industrial machinery and equipment merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,14,45258,1158,2.6,,,
0100000US,,United States,,4238307,Other industrial machinery and equipment merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,14,45258,1158,2.6,,,
0100000US,,United States,,42384,Industrial supplies merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,6,11760,547,4.7,,,
0100000US,,United States,,42384,Industrial supplies merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,6,11760,547,4.7,,,
0100000US,,United States,,423840,Industrial supplies merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,6,11760,547,4.7,,,
0100000US,,United States,,423840,Industrial supplies merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,6,11760,547,4.7,,,
0100000US,,United States,,4239,Miscellaneous durable goods merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,100,380176,16915,4.4,,,0.1
0100000US,,United States,,4239,Miscellaneous durable goods merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,100,380176,16915,4.4,,,0.2
0100000US,,United States,,42399,Other miscellaneous durable goods merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,92,297640,12360,4.2,,,0.1
0100000US,,United States,,42399,Other miscellaneous durable goods merchant wholesalers,,10,"Merchant wholesalers, except manufacturers' sales branches and offices",12220,"Lawn and garden machinery, equipment, and parts",,2012,92,,,,,,
0100000US,,United States,,423990,Other miscellaneous durable goods merchant wholesalers,,00,Wholesale Trade,12220,"Lawn and garden machinery, equipment, and parts",,2012,92,297640,12360,4.2,,,0.1
